Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,6984.73,18979.80,166868.10,91,0,2,0,0,0,111,0,7,0.9294117647058824,1020
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,201489.36,94122.24,100720.00,945,0,9,0,1,0,1224,0,31,0.9773242630385488,10584
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,12339.16,490.00,4800.00,42,0,0,0,0,0,52,0,4,0.9285714285714286,504
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,0.00,216866.54,2601594.00,657,0,4,0,0,0,935,0,24,0.9658385093167702,7728
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,1639.43,143058.62,2442510.00,446,0,5,0,1,0,603,0,19,0.826,6000
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,7301.76,108103.28,1855567.00,338,0,5,0,1,0,506,0,10,0.967948717948718,3744
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,0.00,66045.75,285475.25,193,0,6,0,0,0,294,0,21,0.9806763285024155,2484
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,0.00,70792.02,301195.42,215,0,3,0,0,0,306,0,20,0.9523809523809523,2520
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1339.84,35090.04,330538.27,104,0,0,0,0,0,163,0,19,0.937984496124031,1548
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,226521.62,0.00,0,748,0,6,0,0,0,915,27,0.9910979228486647,8088
