Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,27505.05,87540.81,760347.00,410,0,4,0,0,0,476,0,27,0.9378238341968912,4632
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,199738.83,120492.33,133190.00,1088,0,7,0,0,0,1265,0,31,0.9857270294380018,13452
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,23879.78,455.00,8160.00,79,0,0,0,0,0,99,0,7,0.9428571428571428,840
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,0.00,245389.60,3877596.00,838,0,5,0,0,0,965,0,20,0.9842602308499475,11436
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,5778.62,136839.85,3523191.00,469,0,7,0,0,0,536,0,36,0.6121979286536249,10428
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,1734.72,94293.34,2259476.00,340,0,1,0,0,0,365,0,10,0.9893333333333333,4500
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,0.00,62183.46,347409.36,197,0,6,0,0,0,262,0,21,0.9777777777777777,3240
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,0.00,63152.41,343563.63,204,0,5,0,0,0,262,0,20,0.975609756097561,2952
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,0.00,25927.51,292427.33,84,0,2,0,0,0,107,0,17,0.9181818181818182,1320
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,376710.78,0.00,0,1367,0,11,0,2,0,1394,39,0.9972356599861782,17364
